BTPBH,Paro
BYBZA,Berëzovka
BYBOB,Bobruysk
BYBMO,Bol'shiye Motykaly
BYMBV,Borisov
BYBOR,Borovlyany
BYBQT,Brest
BYCHK,Chashniki
BYCHV,Chavusi
BYDEM,Demidov
BYDRS,Dobrush
BYDRH,Drahichyn
BYDZK,Dzerzhinsk
BYFAN,Fanipol
BYGAT,Gatovo
BYGME,Gomel
BYGRK,Gorodok
BYGNA,Grodna
BYGDO,Grodno
BYKHO,Khoyniki
BYKLK,Kletsk
BYKBY,Kobryn
BYKNV,Kokhanovo
BYKDC,Kolyadichi
BYKOP,Koptevka
BYKYC,Kostyukovichi
BYKRA,Krasnosel'skiy
BYMSK,Krupki
BYLHK,Lahoysk
BYLDA,Lida
BYLNY,Luninyets
BYMZY,Maladzyechna
BYMZH,Mazha
BYMAZ,Mazyr
BYMSQ,Minsk
BYMVQ,Mogilev
BYMOL,Molodeczno
BYNHK,Navahrudak
BYNPK,Navapolatsk
BYOLS,Ol'shany
BYOSH,Orsha
BYPES,Peski
BYPIK,Pinsk
BYPOK,Polatsk
BYRYA,Rechytsa
BYSHO,Salihorsk
BYSCH,Shchuchyn
BYSKV,Sklov
BYSLA,Slawharad
BYSNM,Slonim
BYSLU,Slutsk
BYSMV,Smolevichi
BYSGA,Smorgon
BYSTD,Starye Dorogi
BYSOB,Stolbtsy
BYSVE,Svetlogorsk
BYSVS,Svisloch
BYZDA,Uzda
BYVAW,Vawkavysk
BYVTB,Vitebsk
BYVYK,Vyerkhnyadzvinsk
BYZAS,Zaslavl
BYZLV,Zel'va
BYZHO,Zhlobin
BYMZO,Zhodino
BYZZA,Zhodzina
BYZHI,Zhytkavichy
LOCODE,Name
AFASH,Ali Shirzayi
AFBAG,Bagram
AFBIN,Bamian
AFBEP,Bazar-E-Panjwai
AFBST,Bost
AFCBN,Camp Bastion
AFCDW,Camp Dwyer
AFCLN,Camp Leatherneck
AFCSO,Camp Salerno
AFCWO,Camp Wolverine
AFCCN,Chaghcharan
AFDAZ,Darwaz
AFDHD,Dehdadi
AFISQ,Eslam Qal'eh
AFFBD,Faizabad
AFFAH,Farah
AFFRO,FOB Frontenac
AFRMD,FOB Ramrod
AFSHK,FOB Shank
AFGRG,Gardez
AFGAR,Gardiz
AFGZI,Ghazni
AFHRT,Hairatan
AFHEA,Herat
AFJAA,Jalalabad
AFKBL,Kabul
AFKMU,Kamu
AFKDH,Kandahar
AFKHT,Khost
AFKWT,Khowst
AFKHO,Khowst
AFKWH,Khwahan
AFUND,Kunduz
AFKUR,Kuran-O-Munjan
AFLAG,Lashkar Gah
AFMMZ,Maimana
AFMWD,Maiwand
AFMAS,Mashad
AFMZR,Mazar-i-Sharif
AFMEH,Mehtar Lam
AFMEY,Meydan
AFIMZ,Nimroz
AFORG,Orgun-E Kalan
AFPSD,Pasaband
AFPEC,Pol-e Charkhi
AFLQN,Qala Nau
AFQLT,Qalat
AFQYN,Qal'Eh-Ye Now
AFQAM,Qasim
AFSBF,Sardeh Band
AFSRO,Sharona
AFSGA,Sheghnan
AFSHE,Sherhan-Bandar
AFSDD,Shindand
AFSBK,Spin Boldak
AFTQN,Taluqan
AFTKO,Tarin Kowt
AFTII,Tirinkot
AFTGH,Torghundi
AFRKH,Torkham
AFTOW,Towraghondi
AFURN,Urgoon
AFURZ,Uruzgan
AFZAJ,Zaranj
AFZHA,Zhari Dasht
LOCODE,Name
BABNX,Banja Luka
BABER,Berkovici
BABHC,Bihac
BABJA,Bijeljina
BABIR,Biracevac
BABZJ,"Blazuj, Sarajevo"
BABKR,Bosanska Krupa
BABBR,Bosanski Brod (Srpski Brod)
BABPE,Bosanski Petrovac
BABKO,Brcko
BABUD,Budinscina
BABUG,Bugojno
BABAA,Busovaca
BA4CA,Cazin
BACEL,Celinac
BACIT,Citluk
BADVA,Derventa
BADBJ,Doboj
BADOJ,Domaljevac
BADOV,Donji Vakuf
BADBA,Dubica
BADUK,Durdevik
BAFOJ,Fojnica
BAGOZ,Gorazde
BABGV,Gornji Vakuf-Uskoplje
BAC6G,Gracanica
BAGDC,Gradacac
BAGDA,Gradiska
BAGRU,Grude
BAHDC,Hadzici
BAHRE,Hresa
BAJBA,Jablanica
BAJAJ,Jajce
BAKAC,Kacuni
BAKAJ,Kakanj
BAKSA,Kalesija
BAKJK,Kiseljak
BAKDJ,Kladanj
BAKLJ,Kljuc
BAKJC,Konjic
BAKSO,Kresevo
BAKNU,Krupa na Uni
BALTI,Laktasi
BALVO,Livno
BALBS,Ljubuski
BALKV,Lukavac
BAMAG,Maglaj
BAMZI,Matuzici
BAMGE,Medugorje
BAMOD,Modrica
BAOMO,Mostar
BAMRA,Mravnjac
BAMGR,Mrkonji Grad
BANEM,Neum
BANEV,Nevesinje
BAORA,Orasje
